decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-04-15T16:00:00Z,2021-04-15T16:00:00Z,2021-04-16T13:30:00Z,long,0,67,414.86148199999997,412.64801557374767,417.07494842625226,417.03324093140964,target,145.50784840444788,0.67,144.8378484044479,0.976639584757482,100144.83784840445
2021-04-19T16:15:00Z,2021-04-19T16:15:00Z,2021-04-20T14:30:00Z,short,0,75,414.708525,416.71062565939116,412.70642434060886,412.7476949830429,target,147.06225127178385,0.75,146.31225127178385,0.9743915760710951,100291.15009967623
2021-04-21T16:00:00Z,2021-04-21T16:00:00Z,2021-04-22T17:45:00Z,long,0,55,414.931489,412.22654816618467,417.6364298338153,412.18532551136803,stop,-151.03899187475804,0.55,-151.58899187475805,-1.0189367006391732,100139.56110780148
2021-04-27T15:30:00Z,2021-04-27T15:30:00Z,2021-04-27T15:45:00Z,short,0,333,417.148281,417.59861664657745,416.69794535342254,417.6403765082421,stop,-163.86780424462933,3.33,-167.19780424462934,-1.1149361860604348,99972.36330355685
2021-04-29T14:30:00Z,2021-04-29T14:30:00Z,2021-04-29T14:45:00Z,long,0,116,418.971893,417.68784197692787,420.2559440230722,417.64607319273017,stop,-153.79509764330282,1.16,-154.95509764330282,-1.040316765663907,99817.40820591354
2021-04-29T15:00:00Z,2021-04-29T15:00:00Z,2021-04-29T15:45:00Z,long,0,245,418.301826,417.69184322337526,418.91180877662475,417.6500740390529,stop,-159.67923043203484,2.45,-162.12923043203483,-1.0848699115879814,99655.2789754815
2021-05-03T15:45:00Z,2021-05-03T15:45:00Z,2021-05-04T13:30:00Z,long,0,104,418.95189100000005,417.5184035155643,420.3853784844358,417.47665167521274,stop,-153.42488977788025,1.04,-154.46488977788024,-1.036102052451408,99500.81408570362
2021-05-04T15:30:00Z,2021-05-04T15:30:00Z,2021-05-06T19:45:00Z,short,0,26,412.878708,418.5963481609496,407.1610678390504,418.6382077957657,stop,-149.74699468990798,0.26,-150.00699468990797,-1.0090701116817884,99350.80709101372
2021-05-10T17:00:00Z,2021-05-10T17:00:00Z,2021-05-10T17:30:00Z,long,0,429,421.852181,421.5049090435473,422.19945295645266,421.4627585526429,stop,-167.06222991617398,4.29,-171.35222991617397,-1.1501719039944045,99179.45486109755
2021-05-12T14:30:00Z,2021-05-12T14:30:00Z,2021-05-12T19:15:00Z,short,0,32,410.328963,414.892255188706,405.765670811294,405.80624737837513,target,144.72689989199534,0.32,144.40689989199535,0.988916649429921,99323.86176098954
2021-05-13T16:15:00Z,2021-05-13T16:15:00Z,2021-05-13T17:30:00Z,long,0,66,410.631059,408.3744676078578,412.8876503921422,408.333630161097,stop,-151.6303033675972,0.66,-152.2903033675972,-1.0225284235940224,99171.57145762195
2021-05-17T16:45:00Z,2021-05-17T16:45:00Z,2021-05-17T16:45:00Z,short,0,301,414.978498,415.4725647241627,414.4844312758373,414.5258797189649,target,136.2381025915609,3.0100000000000002,133.2281025915609,0.8958674190924621,99304.7995602135
2021-05-17T18:30:00Z,2021-05-17T18:30:00Z,2021-05-17T18:45:00Z,short,0,285,414.518544,415.0401443810006,413.99694361899947,415.08164839543866,stop,-160.4847527000132,2.85,-163.33475270001318,-1.0987422868428367,99141.46480751349
