zone_id,origin_side,current_side,lower,upper,origin_timestamp,available_timestamp,qualified_timestamp,qualified_lower,qualified_upper,qualified_score,qualified_sources,status,score,current_score,sources,source_details,pivot_count,touches,retests,last_touch_timestamp,break_timestamp,invalidated_timestamp
1,demand,demand,410.59,411.83,2021-04-20T18:00:00Z,2021-04-21T15:00:00Z,2021-04-23T15:00:00Z,410.59,411.83,2,pivot|repeated_pivot,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-04-20T18:00:00Z|pivot:2021-04-22T18:00:00Z|pivot:2021-05-11T14:00:00Z,3,4,2,2021-05-18T20:00:00Z,2021-05-19T14:30:00Z,2021-05-26T20:00:00Z
2,supply,supply,416.1,416.78,2021-04-22T16:00:00Z,2021-04-22T18:00:00Z,2021-04-23T14:30:00Z,416.1,416.78,2,order_block|pivot,expired,5,5,order_block|pivot|repeated_pivot|role_flip|volume_profile,order_block:2021-04-22T16:00:00Z|structure_break:2021-04-22T17:00:00Z|pivot:2021-04-22T17:00:00Z|pivot:2021-04-27T14:00:00Z|pivot:2021-04-28T18:00:00Z|pivot:2021-04-29T16:00:00Z|pivot:2021-04-30T19:00:00Z|volume:POC:2021-05-05:416.565208|order_block:2021-05-06T18:00:00Z|structure_break:2021-05-06T19:00:00Z|pivot:2021-05-14T18:00:00Z|pivot:2021-05-18T13:30:00Z|pivot:2021-05-20T15:00:00Z,8,8,6,2021-05-21T19:00:00Z,2021-05-24T14:30:00Z,2021-06-01T20:00:00Z
5,supply,supply,417.5323495740133,418.25,2021-04-23T19:00:00Z,2021-04-26T16:00:00Z,2021-04-26T20:00:00Z,417.5323495740133,418.25,2,pivot|volume_profile,expired,4,4,pivot|repeated_pivot|role_flip|volume_profile,pivot:2021-04-23T19:00:00Z|volume:POC:2021-04-26:417.725208|pivot:2021-04-26T19:00:00Z|pivot:2021-05-05T16:00:00Z|pivot:2021-05-06T15:00:00Z,4,5,4,2021-05-06T16:00:00Z,2021-05-06T20:00:00Z,2021-05-14T19:00:00Z
8,supply,demand,418.33626033318296,419.27,2021-04-28T14:00:00Z,2021-04-28T18:00:00Z,2021-05-04T14:30:00Z,418.33626033318296,419.27,3,order_block|pivot|role_flip,expired,4,4,order_block|pivot|role_flip|volume_profile,pivot:2021-04-28T14:00:00Z|order_block:2021-05-03T18:00:00Z|structure_break:2021-05-04T13:30:00Z|volume:POC:2021-05-03:418.613750,1,3,3,2021-05-10T19:00:00Z,2021-05-10T20:00:00Z,2021-05-18T19:00:00Z
10,supply,supply,420.33,420.72,2021-04-29T13:30:00Z,2021-04-29T17:00:00Z,,,,,,expired,1,1,pivot,pivot:2021-04-29T13:30:00Z,1,1,0,2021-04-29T19:00:00Z,2021-05-07T14:30:00Z,2021-05-14T20:00:00Z
13,supply,supply,419.49,419.84,2021-05-03T13:30:00Z,2021-05-03T17:00:00Z,,,,,,expired,1,1,pivot,pivot:2021-05-03T13:30:00Z,1,0,0,,2021-05-07T14:30:00Z,2021-05-14T20:00:00Z
15,demand,demand,411.67,412.12,2021-05-04T15:00:00Z,2021-05-04T19:00:00Z,2021-05-13T18:00:00Z,411.67,412.12,3,pivot|repeated_pivot|role_flip,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-05-04T15:00:00Z|pivot:2021-05-13T14:00:00Z,2,2,2,2021-05-20T14:30:00Z,2021-05-14T14:30:00Z,2021-06-23T15:00:00Z
17,demand,demand,413.36,414.50088271314974,2021-05-06T14:00:00Z,2021-05-06T18:00:00Z,2021-05-18T14:30:00Z,413.36,414.50088271314974,3,pivot|repeated_pivot|role_flip,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-05-06T14:00:00Z|pivot:2021-05-17T17:00:00Z,2,4,2,2021-05-18T19:00:00Z,2021-05-18T20:00:00Z,2021-05-26T19:00:00Z
20,supply,demand,421.59,422.82,2021-05-07T15:00:00Z,2021-05-07T19:00:00Z,2021-05-10T19:00:00Z,421.59,422.82,2,order_block|pivot,expired,4,4,order_block|pivot|role_flip|volume_profile,pivot:2021-05-07T15:00:00Z|order_block:2021-05-10T15:00:00Z|structure_break:2021-05-10T18:00:00Z|volume:POC:2021-05-07:421.981250,1,6,1,2021-06-16T18:00:00Z,2021-06-17T16:00:00Z,2021-06-25T15:00:00Z
21,demand,demand,421.03,421.59,2021-05-10T14:00:00Z,2021-05-10T18:00:00Z,,,,,,expired,1,1,pivot,pivot:2021-05-10T14:00:00Z,1,0,0,,2021-05-10T19:00:00Z,2021-05-18T18:00:00Z
