zone_id,origin_side,current_side,lower,upper,origin_timestamp,available_timestamp,qualified_timestamp,qualified_lower,qualified_upper,qualified_score,qualified_sources,status,score,current_score,sources,source_details,pivot_count,last_pivot_bar_index,approach_ready,pending_touch_bar_index,rejection_cooldown_until,touches,retests,last_touch_timestamp,break_timestamp,invalidated_timestamp
9,demand,demand,416.9,417.49,2021-04-28T18:00:00Z,2021-04-29T15:00:00Z,2021-05-17T15:00:00Z,416.9,417.49,3,pivot|repeated_pivot|role_flip,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-04-28T18:00:00Z|pivot:2021-05-14T18:00:00Z,2,141,True,,230,2,4,2021-06-03T14:30:00Z,2021-05-21T14:30:00Z,2021-06-17T18:00:00Z
15,demand,demand,411.67,412.12,2021-05-04T15:00:00Z,2021-05-04T19:00:00Z,2021-05-13T18:00:00Z,411.67,412.12,3,pivot|repeated_pivot|role_flip,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-05-04T15:00:00Z|pivot:2021-05-13T14:00:00Z,2,130,True,,166,1,2,2021-05-20T14:30:00Z,2021-05-14T14:30:00Z,2021-06-23T15:00:00Z
16,supply,supply,416.9,417.63,2021-05-05T16:00:00Z,2021-05-05T20:00:00Z,2021-05-06T19:00:00Z,416.9,417.63,2,pivot|repeated_pivot,expired,2,2,pivot|repeated_pivot,pivot:2021-05-05T16:00:00Z|pivot:2021-05-06T15:00:00Z,2,96,False,,100,1,0,2021-05-06T16:00:00Z,2021-05-06T20:00:00Z,2021-05-14T19:00:00Z
20,supply,demand,422.54,422.82,2021-05-07T15:00:00Z,2021-05-07T19:00:00Z,2021-06-01T17:00:00Z,422.54,422.82,2,pivot|repeated_pivot,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-05-07T15:00:00Z|pivot:2021-06-01T13:30:00Z|pivot:2021-06-04T19:00:00Z|pivot:2021-06-23T19:00:00Z,4,331,True,,330,10,3,2021-06-23T17:00:00Z,2021-06-22T19:00:00Z,2021-06-28T15:00:00Z
29,supply,supply,415.56,416.14,2021-05-18T13:30:00Z,2021-05-18T17:00:00Z,2021-05-20T19:00:00Z,415.56,416.14,2,pivot|repeated_pivot,expired,2,2,pivot|repeated_pivot,pivot:2021-05-18T13:30:00Z|pivot:2021-05-20T15:00:00Z,2,166,False,,169,1,0,2021-05-20T16:00:00Z,2021-05-21T14:30:00Z,2021-05-28T20:00:00Z
34,demand,demand,414.45,415.0,2021-05-21T16:00:00Z,2021-05-21T20:00:00Z,2021-06-21T16:00:00Z,414.45,415.0,2,pivot|repeated_pivot,expired,2,2,pivot|repeated_pivot,pivot:2021-05-21T16:00:00Z|pivot:2021-06-18T19:00:00Z,2,310,True,,313,1,0,2021-06-18T20:00:00Z,,2021-07-13T16:00:00Z
39,demand,supply,419.12,419.6,2021-05-27T19:00:00Z,2021-05-28T16:00:00Z,2021-06-02T14:30:00Z,419.12,419.6,2,pivot|repeated_pivot,expired,4,4,pivot|repeated_pivot|role_flip|volume_profile,pivot:2021-05-27T19:00:00Z|pivot:2021-06-01T17:00:00Z|volume:POC:2021-06-03:419.139792,2,217,False,,234,1,1,2021-06-03T19:00:00Z,2021-06-04T14:30:00Z,2021-06-11T20:00:00Z
40,supply,supply,420.84,421.25,2021-05-28T16:00:00Z,2021-05-28T20:00:00Z,2021-06-02T19:00:00Z,420.84,421.25,2,pivot|repeated_pivot,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-05-28T16:00:00Z|pivot:2021-06-02T15:00:00Z,2,222,False,,317,4,2,2021-06-21T18:00:00Z,2021-06-22T15:00:00Z,2021-06-30T14:30:00Z
47,supply,demand,423.1353110825644,423.26,2021-06-08T13:30:00Z,2021-06-08T17:00:00Z,2021-06-09T17:00:00Z,423.1353110825644,423.26,2,pivot|repeated_pivot,expired,4,4,order_block|pivot|repeated_pivot|role_flip,pivot:2021-06-08T13:30:00Z|pivot:2021-06-09T13:30:00Z|pivot:2021-06-11T16:00:00Z|order_block:2021-06-14T16:00:00Z|structure_break:2021-06-14T19:00:00Z|pivot:2021-06-14T17:00:00Z,4,280,False,,328,4,3,2021-06-23T15:00:00Z,2021-06-23T20:00:00Z,2021-07-01T19:00:00Z
52,supply,supply,424.19,424.63,2021-06-10T14:00:00Z,2021-06-10T18:00:00Z,2021-06-11T17:00:00Z,424.19,424.63,2,pivot|repeated_pivot,expired,3,3,pivot|repeated_pivot|role_flip,pivot:2021-06-10T14:00:00Z|pivot:2021-06-11T13:30:00Z,2,269,False,,287,1,2,2021-06-15T16:00:00Z,2021-06-15T19:00:00Z,2021-06-23T18:00:00Z
