decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,reward_to_risk
2021-03-16T15:15:00Z,2021-03-16T15:15:00Z,short,323.65,324.56511056279095,324.56511056279095,176,supply,324.0043280064849,324.45,touched,2,2,2021-03-16T15:00:00Z,323.87,324.1,323.53,323.67,2.3022112558193646,2021-03-16T15:00:00Z,0.11511056279096823,1.0
2021-04-21T19:00:00Z,2021-04-21T19:00:00Z,long,337.73,336.82144643262995,336.82144643262995,212,demand,336.9,337.58,verified,3,3,2021-04-21T18:45:00Z,337.69,337.82,337.58,337.74,1.5710713474000462,2021-04-21T19:00:00Z,0.07855356737000231,1.0
2021-04-27T13:45:00Z,2021-04-27T13:45:00Z,short,341.01,342.29504031332414,342.29504031332414,217,supply,341.97447627254206,342.23,active,2,2,2021-04-27T13:30:00Z,341.93,342.15,340.98,341.0,1.3008062664823825,2021-04-26T20:00:00Z,0.06504031332411912,1.0
2021-05-18T14:45:00Z,2021-05-18T14:45:00Z,short,326.11,327.48680135314567,327.48680135314567,239,supply,326.45,327.39,active,3,3,2021-05-18T14:30:00Z,326.32,326.55,325.91,326.09,1.9360270629135186,2021-05-18T14:30:00Z,0.09680135314567594,1.0
2021-05-19T18:15:00Z,2021-05-19T18:15:00Z,short,320.27,322.50404861336676,322.50404861336676,244,supply,321.45,322.4,verified,3,3,2021-05-19T18:00:00Z,321.02,321.72,319.54,320.28,2.0809722673353983,2021-05-19T18:00:00Z,0.10404861336676992,1.0
2021-07-23T13:45:00Z,2021-07-23T13:45:00Z,short,364.52,365.5528659902754,365.5528659902754,293,supply,365.14,365.49,active,2,2,2021-07-23T13:30:00Z,365.31,365.5,364.04,364.51,1.257319805508199,2021-07-22T20:00:00Z,0.06286599027540996,1.0
2021-08-18T18:15:00Z,2021-08-18T18:15:00Z,short,364.56,366.94820033448985,366.94820033448985,308,supply,366.27,366.88,active,4,4,2021-08-18T18:00:00Z,365.23,366.41,364.31,364.57,1.3640066897967509,2021-08-18T18:00:00Z,0.06820033448983755,1.0
2021-08-20T18:30:00Z,2021-08-20T18:30:00Z,short,367.14,368.16386446967977,368.16386446967977,306,supply,367.35,368.08,active,3,3,2021-08-20T18:15:00Z,367.26,367.36,366.99,367.13,1.6772893935955864,2021-08-20T18:00:00Z,0.08386446967977933,1.0
2021-09-09T16:30:00Z,2021-09-09T16:30:00Z,long,381.02,380.3135266564914,380.3135266564914,335,demand,380.37,380.76,verified,3,3,2021-09-09T16:15:00Z,381.0,381.18,380.71,381.03,1.1294668701724657,2021-09-09T16:00:00Z,0.05647334350862329,1.0
2021-09-10T15:45:00Z,2021-09-10T15:45:00Z,long,379.38,378.29367796996956,378.29367796996956,336,demand,378.36,378.89,active,2,2,2021-09-10T15:30:00Z,378.93,379.46,378.78,379.38,1.3264406006094236,2021-09-10T15:00:00Z,0.06632203003047119,1.0
2021-10-11T17:45:00Z,2021-10-11T17:45:00Z,long,360.37,359.23979175631496,359.23979175631496,364,demand,359.33,360.07,verified,3,3,2021-10-11T17:30:00Z,360.16,360.54,359.97,360.4,1.8041648737010754,2021-10-11T17:00:00Z,0.09020824368505377,1.0
2021-10-20T18:15:00Z,2021-10-20T18:15:00Z,long,374.67,373.3124334142191,373.3124334142191,351,demand,373.37,374.27719620624856,verified,3,3,2021-10-20T18:00:00Z,374.32,374.71,374.25,374.68,1.1513317156185194,2021-10-20T18:00:00Z,0.05756658578092597,1.0
2021-10-26T17:15:00Z,2021-10-26T17:15:00Z,long,379.04,377.75890763726073,377.75890763726073,350,demand,377.84,378.61,verified,2,3,2021-10-26T17:00:00Z,378.74,379.19,378.55,379.03,1.6218472547848115,2021-10-26T17:00:00Z,0.08109236273924059,1.0
2021-10-27T15:00:00Z,2021-10-27T15:00:00Z,short,380.76,382.2336146511471,382.2336146511471,344,supply,381.67,382.15,rejected,2,2,2021-10-27T14:45:00Z,380.88,381.76,380.55,380.75,1.6722930229421098,2021-10-27T15:00:00Z,0.08361465114710549,1.0
2021-12-01T16:45:00Z,2021-12-01T16:45:00Z,short,399.67,401.33033594229823,401.33033594229823,399,supply,399.99,401.19,active,4,4,2021-12-01T16:30:00Z,399.98,400.28,399.22,399.64,2.8067188459648946,2021-12-01T16:00:00Z,0.14033594229824473,1.0
2021-12-01T19:30:00Z,2021-12-01T19:30:00Z,long,394.56,391.6061727167532,391.6061727167532,408,demand,391.75,393.06,active,4,4,2021-12-01T19:15:00Z,393.72,394.8,392.79,394.6,2.8765456649361805,2021-12-01T19:00:00Z,0.14382728324680902,1.0
2021-12-08T20:15:00Z,2021-12-08T20:15:00Z,short,398.79,400.6023736609254,400.6023736609254,409,supply,399.1,400.48,touched,3,3,2021-12-08T20:00:00Z,399.09,399.19,398.59,398.76,2.4474732185085375,2021-12-08T20:00:00Z,0.12237366092542688,1.0
2021-12-16T14:45:00Z,2021-12-16T14:45:00Z,short,395.9,398.4803329007287,398.4803329007287,417,supply,397.52,398.33,active,4,4,2021-12-16T14:30:00Z,398.04,398.48,395.32,395.82,3.006658014574328,2021-12-15T21:00:00Z,0.1503329007287164,1.0
