original_trade_number,decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
1,2021-06-16T18:30:00Z,2021-06-16T18:30:00Z,2021-06-16T18:30:00Z,long,0,189,421.592155,420.7992246000532,422.3850853999468,420.7571446775932,stop,-157.81695093488293,1.8900000000000001,-159.7069509348829,-1.065680320067814,99840.29304906512
7,2022-04-14T15:30:00Z,2022-04-14T15:30:00Z,2022-04-14T16:15:00Z,long,0,86,442.094205,440.3544062622161,443.83400373778386,440.3103708215899,stop,-153.40973934326644,0.86,-154.26973934326645,-1.0310584434007768,100100.60142946776
8,2022-06-22T17:30:00Z,2022-06-22T17:30:00Z,2022-06-22T19:30:00Z,long,0,63,377.117708,374.7609273556949,379.4744886443051,374.7234512629593,stop,-150.8381744335627,0.63,-151.4681744335627,-1.020144468196603,99949.13325503419
12,2022-12-05T15:45:00Z,2022-12-05T15:45:00Z,2022-12-05T16:30:00Z,long,0,96,403.520348,401.9709377137187,405.06975828628134,401.9307406199473,stop,-152.60230848506035,0.96,-153.56230848506036,-1.0323975477740364,99627.34349614351
13,2022-12-15T15:45:00Z,2022-12-15T15:45:00Z,2022-12-15T16:00:00Z,long,0,77,391.849181,389.9248249090058,393.7735370909942,389.8858324265149,stop,-151.1778401583499,0.77,-151.94784015834992,-1.0254591562965656,99475.39565598516
17,2023-08-15T18:15:00Z,2023-08-15T18:15:00Z,2023-08-15T19:15:00Z,long,0,178,444.094405,443.25546241368716,444.93334758631283,443.2111368674458,stop,-157.22172759464377,1.78,-159.00172759464377,-1.0647547843292833,99747.3433650239
21,2024-01-03T19:30:00Z,2024-01-03T19:30:00Z,2024-01-03T20:45:00Z,long,0,63,470.997095,468.6380219517864,473.3561680482136,468.59115814959125,stop,-151.57402157575126,0.63,-152.20402157575126,-1.0241042990331402,100021.98064496323
22,2024-04-10T18:15:00Z,2024-04-10T18:15:00Z,2024-04-10T19:00:00Z,long,0,80,514.411436,512.5552417704795,516.2676302295205,512.5039862463025,stop,-152.59598029580047,0.8,-153.39598029580048,-1.0330006004774794,99868.58466466743
24,2024-07-18T15:00:00Z,2024-07-18T15:00:00Z,2024-07-18T15:00:00Z,long,0,101,556.8956840000001,555.420531155762,558.3708368442382,555.3649891026464,stop,-154.60018463272058,1.01,-155.61018463272057,-1.044430686197419,99845.02686373281
25,2024-09-03T15:30:00Z,2024-09-03T15:30:00Z,2024-09-03T16:45:00Z,long,0,93,556.445639,554.8428530776939,558.0484249223061,554.7873687923861,stop,-154.2191293080923,0.93,-155.1491293080923,-1.040856538853027,99689.87773442472
27,2025-01-07T16:00:00Z,2025-01-07T16:00:00Z,2025-01-07T17:45:00Z,long,0,43,593.509345,590.0384515570281,596.980238442972,589.9794477118725,stop,-151.7855833894862,0.43,-152.2155833894862,-1.019880715524519,99681.93677983154
35,2025-12-04T17:45:00Z,2025-12-04T17:45:00Z,2025-12-04T19:15:00Z,long,0,145,684.258419,683.2225749146165,685.2942630853835,683.1542526571251,stop,-160.10411971686324,1.45,-161.55411971686323,-1.0756120140054186,100503.25431514757
37,2026-02-04T17:00:00Z,2026-02-04T17:00:00Z,2026-02-04T17:15:00Z,long,0,54,686.6486580000001,683.8750074484938,689.4223085515064,683.8066199477489,stop,-153.47005482156237,0.54,-154.01005482156236,-1.0282614912330168,100189.65356813921
39,2026-02-25T16:30:00Z,2026-02-25T16:30:00Z,2026-02-26T15:00:00Z,long,0,60,691.5491480000001,689.0454145220291,694.052881477971,688.9765099805769,stop,-154.35828116538914,0.6,-154.95828116538914,-1.0315147527268471,100177.67221233502
42,2026-07-13T15:00:00Z,2026-07-13T15:00:00Z,2026-07-13T16:30:00Z,long,0,48,752.815274,749.6906275977119,755.9399204022882,749.6156585349521,stop,-153.58154232230117,0.48,-154.06154232230116,-1.0271931770255935,100308.9716437781
