decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk
2021-05-20T00:15:00Z,2021-05-20T00:15:00Z,long,1.217375,1.216592500115295,1.216592500115295,989,demand,1.21666,1.216935,verified,2,3,2021-05-20T00:00:00Z,1.21706,1.21753,1.216905,1.217375,0.0013499976940979023,2021-05-20T00:00:00Z,6.749988470489512e-05,0.10909090909161376,1.0
2021-05-31T05:45:00Z,2021-05-31T05:45:00Z,short,1.219745,1.2205434023198685,1.2205434023198685,1006,supply,1.220185,1.22049,rejected,3,3,2021-05-31T05:30:00Z,1.220095,1.220215,1.21974,1.219745,0.0010680463973657024,2021-05-31T05:00:00Z,5.3402319868285126e-05,,1.0
2021-06-03T01:45:00Z,2021-06-03T01:45:00Z,short,1.221005,1.221474354543629,1.221474354543629,1015,supply,1.221165,1.22143,rejected,4,4,2021-06-03T01:30:00Z,1.22116,1.221185,1.2209,1.221005,0.0008870908725825618,2021-06-03T01:00:00Z,4.435454362912809e-05,,1.0
2021-06-08T02:15:00Z,2021-06-08T02:15:00Z,long,1.21873,1.2179400368794424,1.2179400368794424,1028,demand,1.217985,1.218615,rejected,3,3,2021-06-08T02:00:00Z,1.218725,1.218865,1.218535,1.21873,0.0008992624111529629,2021-06-08T02:00:00Z,4.4963120557648143e-05,0.12698412698427244,1.0
2021-06-21T20:15:00Z,2021-06-21T20:15:00Z,short,1.191775,1.1925790632049074,1.1925790632049074,1102,supply,1.191925,1.19251,active,2,2,2021-06-21T20:00:00Z,1.191845,1.192055,1.191635,1.191775,0.0013812640981500043,2021-06-21T20:00:00Z,6.906320490750021e-05,,1.0
2021-06-25T00:45:00Z,2021-06-25T00:45:00Z,short,1.19305,1.1935886334681702,1.1935886334681702,1115,supply,1.1931,1.19354,active,3,3,2021-06-25T00:30:00Z,1.193075,1.193155,1.192955,1.19305,0.000972669363403976,2021-06-25T00:00:00Z,4.86334681701988e-05,,1.0
2021-06-28T06:15:00Z,2021-06-28T06:15:00Z,long,1.19267,1.19190965918707,1.19190965918707,1114,demand,1.191955,1.192405,active,2,2,2021-06-28T06:00:00Z,1.192585,1.192825,1.19231,1.19267,0.000906816258604337,2021-06-28T06:00:00Z,4.534081293021685e-05,0.21111111111108918,1.0
2021-07-02T14:15:00Z,2021-07-02T14:15:00Z,short,1.183365,1.1849247023143805,1.1849247023143805,1140,supply,1.184475,1.184855,rejected,4,4,2021-07-02T14:00:00Z,1.184465,1.184645,1.182955,1.183365,0.0013940462876118709,2021-07-02T14:00:00Z,6.970231438059354e-05,,1.0
2021-07-05T11:00:00Z,2021-07-05T11:00:00Z,short,1.187705,1.1884909045523853,1.1884909045523853,1137,supply,1.187785,1.188435,touched,3,3,2021-07-05T10:45:00Z,1.187775,1.187985,1.187585,1.187705,0.0011180910477061044,2021-07-05T11:00:00Z,5.590455238530522e-05,,1.0
2021-07-14T17:15:00Z,2021-07-14T17:15:00Z,short,1.183025,1.1839992974016391,1.1839992974016391,1170,supply,1.183505,1.18394,verified,4,4,2021-07-14T17:00:00Z,1.183245,1.183555,1.182895,1.183025,0.001185948032780897,2021-07-14T17:00:00Z,5.929740163904485e-05,,1.0
2021-07-19T14:30:00Z,2021-07-19T14:30:00Z,short,1.181675,1.182436670967606,1.182436670967606,1189,supply,1.181975,1.18237,touched,3,3,2021-07-19T14:15:00Z,1.181705,1.18219,1.181065,1.181675,0.001333419352122937,2021-07-19T14:00:00Z,6.667096760614684e-05,,1.0
2021-07-20T02:45:00Z,2021-07-20T02:45:00Z,short,1.179905,1.1804553622402334,1.1804553622402334,1197,supply,1.180205,1.1804041087539938,verified,3,3,2021-07-20T02:30:00Z,1.180135,1.180225,1.179795,1.179905,0.0010250697247896172,2021-07-20T02:00:00Z,5.125348623948086e-05,,1.0
2021-07-21T15:00:00Z,2021-07-21T15:00:00Z,short,1.178945,1.1803148054165629,1.1803148054165629,1204,supply,1.179805,1.180255,active,3,3,2021-07-21T14:45:00Z,1.179555,1.17984,1.178485,1.178945,0.0011961083312555518,2021-07-21T15:00:00Z,5.980541656277759e-05,,1.0
2021-07-27T10:30:00Z,2021-07-27T10:30:00Z,long,1.178565,1.1777533762499353,1.1777533762499353,1215,demand,1.1778,1.178225,touched,3,3,2021-07-27T10:15:00Z,1.178305,1.178665,1.178175,1.178565,0.0009324750012937709,2021-07-27T10:00:00Z,4.6623750064688545e-05,0.11764705882374454,1.0
2021-08-05T21:30:00Z,2021-08-05T21:30:00Z,long,1.183385,1.1827576576728356,1.1827576576728356,1274,demand,1.18281,1.1832593754594294,touched,2,2,2021-08-05T21:15:00Z,1.183325,1.183405,1.18317,1.183385,0.0010468465432884216,2021-08-05T21:00:00Z,5.234232716442108e-05,0.1988881625685624,1.0
2021-08-12T22:00:00Z,2021-08-12T22:00:00Z,short,1.173135,1.1736405343627017,1.1736405343627017,1290,supply,1.173275,1.1735970688997532,verified,3,3,2021-08-12T21:45:00Z,1.1732,1.173305,1.173025,1.173135,0.0008693092589697147,2021-08-12T21:00:00Z,4.346546294848574e-05,,1.0
2021-08-23T09:30:00Z,2021-08-23T09:30:00Z,short,1.172405,1.1733502837054113,1.1733502837054113,1291,supply,1.173025,1.1732999232477817,touched,3,3,2021-08-23T09:15:00Z,1.173005,1.17306,1.172355,1.172405,0.0010072091525929808,2021-08-23T09:00:00Z,5.0360457629649045e-05,,1.0
2021-10-05T06:00:00Z,2021-10-05T06:00:00Z,long,1.15945,1.1587331123520215,1.1587331123520215,1470,demand,1.158775,1.159135,active,3,3,2021-10-05T05:45:00Z,1.159245,1.15945,1.1591,1.15945,0.0008377529595737936,2021-10-05T06:00:00Z,4.188764797868968e-05,0.09722222222226505,1.0
2021-10-12T01:00:00Z,2021-10-12T01:00:00Z,short,1.154925,1.1555888612462002,1.1555888612462002,1486,supply,1.155125,1.155545,verified,3,3,2021-10-12T00:45:00Z,1.154965,1.15533,1.154765,1.154925,0.0008772249240014534,2021-10-12T01:00:00Z,4.386124620007267e-05,,1.0
2021-10-12T11:30:00Z,2021-10-12T11:30:00Z,long,1.155215,1.154671188173769,1.154671188173769,1488,demand,1.154715,1.1550076384073946,active,3,3,2021-10-12T11:15:00Z,1.155115,1.155265,1.155005,1.155215,0.0008762365246195112,2021-10-12T11:00:00Z,4.381182623097556e-05,0.009015929993780094,1.0
2021-10-15T09:15:00Z,2021-10-15T09:15:00Z,long,1.160385,1.1598511001106806,1.1598511001106806,1510,demand,1.159895,1.16023,verified,3,3,2021-10-15T09:00:00Z,1.160315,1.160595,1.160195,1.160385,0.0008779977863856522,2021-10-15T09:00:00Z,4.389988931928261e-05,0.10447761194025894,1.0
2021-10-20T09:30:00Z,2021-10-20T09:30:00Z,short,1.162395,1.1632463019337407,1.1632463019337407,1525,supply,1.162785,1.163195,verified,2,3,2021-10-20T09:15:00Z,1.162675,1.16279,1.162375,1.162395,0.0010260386748147418,2021-10-20T09:00:00Z,5.130193374073709e-05,,1.0
2021-10-25T11:15:00Z,2021-10-25T11:15:00Z,long,1.162465,1.161899345672614,1.161899345672614,1521,demand,1.16196,1.162245,touched,3,3,2021-10-25T11:00:00Z,1.162375,1.162495,1.162175,1.162465,0.0012130865477184955,2021-10-25T11:00:00Z,6.065432738592478e-05,0.24561403508788332,1.0
2021-10-27T04:15:00Z,2021-10-27T04:15:00Z,long,1.16033,1.159667000983719,1.159667000983719,1550,demand,1.159705,1.160095,verified,3,3,2021-10-27T04:00:00Z,1.16015,1.160335,1.160035,1.16033,0.0007599803256194,2021-10-27T04:00:00Z,3.799901628097e-05,0.153846153846548,1.0
2021-10-27T12:45:00Z,2021-10-27T12:45:00Z,short,1.162045,1.1627607688155606,1.1627607688155606,1537,supply,1.162245,1.162715,active,5,5,2021-10-27T12:30:00Z,1.162075,1.16261,1.16198,1.162045,0.0009153763112120097,2021-10-27T12:00:00Z,4.5768815560600485e-05,,1.0
2021-10-28T11:30:00Z,2021-10-28T11:30:00Z,short,1.160655,1.1611172036308213,1.1611172036308213,1522,supply,1.160725,1.16106,touched,4,4,2021-10-28T11:15:00Z,1.160685,1.160805,1.160355,1.160655,0.0011440726164242598,2021-10-28T11:00:00Z,5.7203630821212995e-05,,1.0
2021-11-03T08:15:00Z,2021-11-03T08:15:00Z,long,1.158415,1.1574673341758581,1.1574673341758581,1580,demand,1.157505,1.157905,active,2,2,2021-11-03T08:00:00Z,1.158095,1.158425,1.157855,1.158415,0.000753316482838139,2021-11-03T08:00:00Z,3.7665824141906953e-05,0.12499999999972244,1.0
2021-11-10T08:00:00Z,2021-11-10T08:00:00Z,long,1.15686,1.1552769583758629,1.1552769583758629,1594,demand,1.155325,1.155795,active,3,3,2021-11-10T07:45:00Z,1.15651,1.156925,1.155785,1.15686,0.0009608324827408258,2021-11-10T08:00:00Z,4.8041624137041294e-05,0.02127659574434914,1.0
2021-11-10T14:45:00Z,2021-11-10T14:45:00Z,short,1.156165,1.1574113357903142,1.1574113357903142,1600,supply,1.156805,1.157345,verified,3,3,2021-11-10T14:30:00Z,1.15638,1.157435,1.15611,1.156165,0.0013267158062842087,2021-11-10T14:00:00Z,6.633579031421043e-05,,1.0
2021-11-21T22:30:00Z,2021-11-21T22:30:00Z,short,1.12871,1.1327678705586495,1.1327678705586495,1635,supply,1.131845,1.132685,active,4,4,2021-11-21T22:15:00Z,1.12875,1.135125,1.12856,1.12871,0.0016574111729890449,2021-11-19T22:00:00Z,8.287055864945224e-05,,1.0
2021-11-30T19:00:00Z,2021-11-30T19:00:00Z,short,1.131035,1.1322773804509398,1.1322773804509398,1641,supply,1.131385,1.13215,verified,3,3,2021-11-30T18:45:00Z,1.131205,1.131675,1.13101,1.131035,0.002547609018797676,2021-11-30T19:00:00Z,0.00012738045093988379,,1.0
2021-12-03T00:30:00Z,2021-12-03T00:30:00Z,short,1.130505,1.131171439094314,1.131171439094314,1686,supply,1.130725,1.1311113432249273,verified,2,3,2021-12-03T00:15:00Z,1.130575,1.13075,1.130505,1.130505,0.0012019173877331085,2021-12-03T00:00:00Z,6.0095869386655426e-05,,1.0
2021-12-06T03:15:00Z,2021-12-06T03:15:00Z,short,1.129065,1.1297649557063953,1.1297649557063953,1672,supply,1.129225,1.129695,verified,4,4,2021-12-06T03:00:00Z,1.12916,1.129325,1.129045,1.129065,0.0013991141279100124,2021-12-06T03:00:00Z,6.995570639550062e-05,,1.0
2021-12-13T11:00:00Z,2021-12-13T11:00:00Z,long,1.127065,1.1257778653571586,1.1257778653571586,1671,demand,1.125835,1.126405,touched,2,3,2021-12-13T10:45:00Z,1.12663,1.127105,1.12636,1.127065,0.001142692856825729,2021-12-13T11:00:00Z,5.713464284128645e-05,0.07894736842115514,1.0
2021-12-14T17:45:00Z,2021-12-14T17:45:00Z,long,1.1275,1.126444813356375,1.126444813356375,1715,demand,1.12651,1.12707,touched,2,2,2021-12-14T17:30:00Z,1.127125,1.12768,1.127065,1.1275,0.00130373287250161,2021-12-14T17:00:00Z,6.51866436250805e-05,0.008928571428628072,1.0
2021-12-24T20:30:00Z,2021-12-24T20:30:00Z,long,1.13117,1.1298603348311735,1.1298603348311735,1742,demand,1.129915,1.130395,verified,2,3,2021-12-24T20:15:00Z,1.130815,1.13117,1.130365,1.13117,0.001093303376529353,2021-12-24T20:00:00Z,5.466516882646765e-05,0.06249999999994218,1.0
2021-12-29T12:00:00Z,2021-12-29T12:00:00Z,short,1.130095,1.1309141715458029,1.1309141715458029,1761,supply,1.130305,1.13086,verified,2,3,2021-12-29T11:45:00Z,1.13028,1.130315,1.129945,1.130095,0.001083430916059056,2021-12-29T12:00:00Z,5.4171545802952795e-05,,1.0
2021-12-30T15:30:00Z,2021-12-30T15:30:00Z,short,1.132275,1.1344308768535971,1.1344308768535971,1753,supply,1.133885,1.13435,verified,4,5,2021-12-30T15:15:00Z,1.13367,1.13391,1.131835,1.132275,0.0016175370719449203,2021-12-30T15:00:00Z,8.087685359724602e-05,,1.0
2021-12-30T20:15:00Z,2021-12-30T20:15:00Z,short,1.132525,1.1335611557216723,1.1335611557216723,1764,supply,1.132985,1.133475,verified,3,4,2021-12-30T20:00:00Z,1.132735,1.133035,1.132435,1.132525,0.001723114433445958,2021-12-30T20:00:00Z,8.615572167229791e-05,,1.0
2022-01-05T20:45:00Z,2022-01-05T20:45:00Z,long,1.131235,1.1301327506266032,1.1301327506266032,1774,demand,1.130205,1.130835,touched,4,4,2022-01-05T20:30:00Z,1.131105,1.131275,1.130775,1.131235,0.0014449874679341207,2022-01-05T20:00:00Z,7.224937339670604e-05,0.09523809523799454,1.0
2022-01-06T11:00:00Z,2022-01-06T11:00:00Z,short,1.131235,1.1321319892514061,1.1321319892514061,1769,supply,1.131575,1.132065,active,3,3,2022-01-06T10:45:00Z,1.13145,1.131685,1.130745,1.131235,0.001339785028121036,2022-01-06T11:00:00Z,6.69892514060518e-05,,1.0
2022-01-10T14:45:00Z,2022-01-10T14:45:00Z,long,1.12924,1.1284004268607633,1.1284004268607633,1802,demand,1.128465,1.128965,active,2,2,2022-01-10T14:30:00Z,1.129115,1.12979,1.128915,1.12924,0.0012914627847339288,2022-01-10T14:00:00Z,6.457313923669644e-05,0.10000000000022205,1.0
2022-02-08T06:45:00Z,2022-02-08T06:45:00Z,long,1.14233,1.1410985913380225,1.1410985913380225,1897,demand,1.141165,1.1419188556810915,touched,2,2,2022-02-08T06:30:00Z,1.14193,1.142355,1.14188,1.14233,0.0013281732395490503,2022-02-08T06:00:00Z,6.640866197745251e-05,0.051542599022746514,1.0
2022-02-10T23:00:00Z,2022-02-10T23:00:00Z,short,1.14286,1.1433610105653658,1.1433610105653658,1907,supply,1.142875,1.143255,verified,3,3,2022-02-10T22:45:00Z,1.14287,1.142895,1.14277,1.14286,0.0021202113073176985,2022-02-10T22:00:00Z,0.00010601056536588494,,1.0
2022-02-17T21:00:00Z,2022-02-17T21:00:00Z,short,1.13599,1.137009644007062,1.137009644007062,1926,supply,1.13625,1.136925,verified,2,3,2022-02-17T20:45:00Z,1.136205,1.136295,1.135925,1.13599,0.001692880141242531,2022-02-17T21:00:00Z,8.464400706212656e-05,,1.0
2022-02-28T17:30:00Z,2022-02-28T17:30:00Z,short,1.120895,1.1233566402607233,1.1233566402607233,1972,supply,1.12215,1.12321,active,3,3,2022-02-28T17:15:00Z,1.122145,1.12241,1.120725,1.120895,0.0029328052144652326,2022-02-28T17:00:00Z,0.00014664026072326163,,1.0
2022-03-10T03:00:00Z,2022-03-10T03:00:00Z,short,1.105235,1.1072091784711338,1.1072091784711338,1986,supply,1.105765,1.107094007831566,verified,2,3,2022-03-10T02:45:00Z,1.10547,1.105795,1.105135,1.105235,0.0023034127913546137,2022-03-10T03:00:00Z,0.0001151706395677307,,1.0
2022-03-10T13:45:00Z,2022-03-10T13:45:00Z,short,1.10629,1.1099197590283827,1.1099197590283827,1990,supply,1.10902,1.10978,touched,3,3,2022-03-10T13:30:00Z,1.108315,1.1108,1.105555,1.10629,0.002795180567654195,2022-03-10T13:00:00Z,0.00013975902838270974,,1.0
2022-03-14T06:15:00Z,2022-03-14T06:15:00Z,long,1.09147,1.089965906622862,1.089965906622862,2027,demand,1.090065,1.090945,active,2,2,2022-03-14T06:00:00Z,1.091135,1.091475,1.090925,1.09147,0.0019818675427638534,2022-03-14T06:00:00Z,9.909337713819267e-05,0.022727272727421827,1.0
2022-03-22T14:15:00Z,2022-03-22T14:15:00Z,short,1.103625,1.1053435988548452,1.1053435988548452,2043,supply,1.104505,1.10525,active,3,3,2022-03-22T14:00:00Z,1.104125,1.104575,1.103605,1.103625,0.0018719770969047903,2022-03-22T14:00:00Z,9.359885484523952e-05,,1.0
2022-03-24T01:00:00Z,2022-03-24T01:00:00Z,short,1.10026,1.1014949882634064,1.1014949882634064,2056,supply,1.100925,1.10143,active,3,3,2022-03-24T00:45:00Z,1.10085,1.101045,1.100125,1.10026,0.001299765268130396,2022-03-24T01:00:00Z,6.49882634065198e-05,,1.0
