decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-06-21T18:15:00Z,2021-06-21T18:15:00Z,2021-06-22T14:15:00Z,short,0,227,420.66792899999996,421.32582804374965,420.01002995625026,421.367960626554,stop,-158.90717922776946,2.27,-161.17717922776947,-1.0792410071114056,99838.82282077223
2021-08-03T14:30:00Z,2021-08-03T14:30:00Z,2021-08-03T15:45:00Z,long,1,177,437.81377699999996,435.84611572360274,439.7814382763972,439.73746013256954,target,340.49191446481547,1.77,338.7219144648155,0.9725673598016434,100177.54473523704
2021-08-19T16:15:00Z,2021-08-19T16:15:00Z,2021-08-19T17:15:00Z,short,0,186,440.305965,441.1127133431228,439.49921665687725,439.5431665785429,target,141.88050639101903,1.86,140.020506391019,0.9331267028614624,100317.56524162806
2021-11-22T18:30:00Z,2021-11-22T18:30:00Z,2021-11-22T20:00:00Z,long,0,176,471.037099,470.1855055739789,471.8886924260211,471.84150355677855,target,141.57520199302235,1.76,139.81520199302236,0.9328448676385658,100457.38044362109
2021-12-08T16:15:00Z,2021-12-08T16:15:00Z,2021-12-08T20:00:00Z,long,0,97,467.656761,466.10846741488496,469.2050545851151,469.1581340796566,target,145.63318872668629,0.97,144.6631887266863,0.9632366199758738,100602.04363234778
2022-04-07T18:30:00Z,2022-04-07T18:30:00Z,2022-04-07T18:45:00Z,short,0,80,447.18527700000004,449.0629694157917,445.30758458420837,449.1078757127333,stop,-153.8078970186598,0.8,-154.6078970186598,-1.0292413690761097,100447.43573532911
2022-04-14T15:30:00Z,2022-04-14T15:30:00Z,2022-04-14T16:15:00Z,long,1,202,442.094205,440.3544062622161,443.83400373778386,440.3103708215899,stop,-360.3345040388351,2.02,-362.3545040388351,-1.0310584434007766,100085.08123129027
2022-06-22T17:30:00Z,2022-06-22T17:30:00Z,2022-06-22T19:30:00Z,long,2,297,377.117708,374.7609273556949,379.4744886443051,374.7234512629593,stop,-711.0942509010813,2.97,-714.0642509010813,-1.020144468196603,99371.01698038919
2022-07-05T15:45:00Z,2022-07-05T15:45:00Z,2022-07-05T17:30:00Z,long,3,547,375.107507,372.38546612042893,377.82954787957107,377.79176492478314,target,1468.2890848563773,5.47,1462.8190848563772,0.9824459084554754,100833.83606524557
2022-07-27T14:45:00Z,2022-07-27T14:45:00Z,2022-07-27T15:00:00Z,short,0,141,395.510445,396.57978781191747,394.44110218808254,396.61944579069865,stop,-156.36911148850885,1.41,-157.77911148850885,-1.0464378478330405,100676.05695375707
2022-09-08T15:45:00Z,2022-09-08T15:45:00Z,2022-09-08T16:00:00Z,short,1,166,399.580038,401.6978213030687,397.4622546969313,397.502000922401,target,344.9541548814327,1.6600000000000001,343.2941548814327,0.976510238135506,101019.3511086385
2022-09-29T15:30:00Z,2022-09-29T15:30:00Z,2022-09-29T15:45:00Z,short,0,143,362.75372100000004,363.80825521067425,361.69918678932584,363.8446360361953,stop,-156.00085017592357,1.43,-157.43085017592358,-1.0439822862564232,100861.92025846257
2022-12-15T15:45:00Z,2022-12-15T15:45:00Z,2022-12-15T16:00:00Z,long,1,183,391.849181,389.9248249090058,393.7735370909942,389.8858324265149,stop,-359.29278894776667,1.83,-361.12278894776665,-1.0254591562965654,100500.79746951482
2023-03-01T18:00:00Z,2023-03-01T18:00:00Z,2023-03-01T19:45:00Z,short,2,403,395.580438,397.3230894076686,393.83778659233144,393.87717037099065,target,686.4168544907723,4.03,682.3868544907723,0.9716616998431814,101183.18432400559
2023-05-08T16:15:00Z,2023-05-08T16:15:00Z,2023-05-09T13:30:00Z,short,0,137,412.168779,413.27482146855743,411.0627365314425,411.10384280509567,target,145.89625870188985,1.37,144.52625870188984,0.953793570223564,101327.71058270748
2023-05-15T17:30:00Z,2023-05-15T17:30:00Z,2023-05-16T14:00:00Z,short,0,99,412.268769,413.7954075176963,410.74213048230376,410.78320469535197,target,147.07086616015704,0.99,146.08086616015703,0.9665446584399838,101473.79144886765
2023-08-24T14:30:00Z,2023-08-24T14:30:00Z,2023-08-24T15:15:00Z,short,0,78,442.115784,444.0475983206171,440.1839696793829,440.22798807635087,target,147.24808204463375,0.78,146.46808204463375,0.9720374797973923,101620.25953091228
2023-08-31T14:45:00Z,2023-08-31T14:45:00Z,2023-08-31T16:15:00Z,short,0,137,452.424753,453.5306037488544,451.31890225114563,451.3640341413707,target,145.31848363221224,1.37,143.94848363221223,0.9501452702526015,101764.20801454449
2023-09-12T17:45:00Z,2023-09-12T17:45:00Z,2023-09-12T18:45:00Z,short,0,114,447.495246,448.8316479503628,446.1588440496372,446.20345993404214,target,147.26361151919662,1.1400000000000001,146.12361151919663,0.9591321425487891,101910.3316260637
2023-10-16T18:00:00Z,2023-10-16T18:00:00Z,2023-10-17T13:30:00Z,short,0,150,436.426353,437.4420315926982,435.4106744073018,435.45421547474257,target,145.82062878861564,1.5,144.32062878861564,0.9472854229422039,102054.6522548523
2024-01-03T19:30:00Z,2024-01-03T19:30:00Z,2024-01-03T20:45:00Z,long,0,64,470.997095,468.6380219517864,473.3561680482136,468.59115814959125,stop,-153.97995842616,0.64,-154.61995842616,-1.0241042990331402,101900.03229642614
2024-05-22T14:30:00Z,2024-05-22T14:30:00Z,2024-05-22T15:45:00Z,short,1,656,531.076887,531.6201308504899,530.5336431495102,530.5866965138251,target,321.56495893075044,6.5600000000000005,315.00495893075043,0.8839317476708629,102215.03725535689
2024-09-03T15:30:00Z,2024-09-03T15:30:00Z,2024-09-03T16:45:00Z,long,0,95,556.445639,554.8428530776939,558.0484249223061,554.7873687923861,stop,-157.5356697233201,0.9500000000000001,-158.4856697233201,-1.0408565388530269,102056.55158563357
2024-11-20T15:30:00Z,2024-11-20T15:30:00Z,2024-11-20T16:45:00Z,long,1,176,585.778572,583.7601351532195,587.7970088467806,587.738229145896,target,344.899657677679,1.76,343.139657677679,0.9659242740270219,102399.69124331124
2025-01-14T15:30:00Z,2025-01-14T15:30:00Z,2025-01-14T16:00:00Z,short,0,64,583.121682,585.5094375234589,580.733926476541,580.7919998691887,target,149.09965637192363,0.64,148.45965637192364,0.9714906354612705,102548.15089968317
2025-01-23T18:30:00Z,2025-01-23T18:30:00Z,2025-01-23T19:00:00Z,short,0,248,607.9392,608.5575063022812,607.3208936977188,607.3816257870886,target,138.27840480202485,2.48,135.79840480202486,0.8856034798467057,102683.9493044852
2025-02-10T16:15:00Z,2025-02-10T16:15:00Z,2025-02-11T14:30:00Z,short,0,102,604.589535,606.0964939980983,603.0825760019017,603.1428842595018,target,147.55837553081346,1.02,146.53837553081345,0.9533442796460604,102830.48768001601
2025-02-11T16:30:00Z,2025-02-11T16:30:00Z,2025-02-11T17:00:00Z,short,0,169,604.559538,605.4699750108825,603.6491009891174,603.7094658992163,target,143.66218503244147,1.69,141.97218503244147,0.9227130386201317,102972.45986504845
2025-02-18T18:15:00Z,2025-02-18T18:15:00Z,2025-02-18T19:00:00Z,short,0,153,610.068987,611.0756043437373,609.0623696562627,609.1232758932283,target,144.6937993360674,1.53,143.1637993360674,0.9295598894587501,103115.62366438452
2025-05-21T15:00:00Z,2025-05-21T15:00:00Z,2025-05-21T17:15:00Z,long,0,56,590.719066,587.9664611732053,593.4716708267947,587.907664527088,stop,-157.43848248307495,0.56,-157.99848248307495,-1.0249932883382518,102957.62518190144
