decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2021-05-31T13:30:00Z,2021-05-31T13:30:00Z,short,1.219815,1.2205455146934396,1.2205455146934396,1006,supply,1.220185,1.22049,touched,3,3,2021-05-31T13:15:00Z,1.220005,1.2202,1.219675,1.219815,0.0011102938687902683,2021-05-31T13:00:00Z,5.5514693439513416e-05,,1.0,2.3951301424247347,1.219905,1.219865
2021-06-08T02:15:00Z,2021-06-08T02:15:00Z,long,1.21873,1.2179400368794424,1.2179400368794424,1028,demand,1.217985,1.218615,rejected,3,3,2021-06-08T02:00:00Z,1.218725,1.218865,1.218535,1.21873,0.0008992624111529629,2021-06-08T02:00:00Z,4.4963120557648143e-05,0.12698412698427244,1.0,1.2539097151711023,1.218575,1.218725
2021-06-24T16:15:00Z,2021-06-24T16:15:00Z,long,1.192775,1.19185742262798,1.19185742262798,1102,demand,1.191925,1.19251,rejected,2,3,2021-06-24T16:00:00Z,1.192665,1.192815,1.192475,1.192775,0.0013515474403998167,2021-06-24T16:00:00Z,6.757737201999084e-05,0.05982905982906632,1.0,1.5685083282392105,1.19263,1.192665
2021-06-25T00:45:00Z,2021-06-25T00:45:00Z,short,1.19305,1.1935886334681702,1.1935886334681702,1115,supply,1.1931,1.19354,active,3,3,2021-06-25T00:30:00Z,1.193075,1.193155,1.192955,1.19305,0.000972669363403976,2021-06-25T00:00:00Z,4.86334681701988e-05,,1.0,1.2241669731143088,1.19321,1.192805
2021-06-28T06:15:00Z,2021-06-28T06:15:00Z,long,1.19267,1.19190965918707,1.19190965918707,1114,demand,1.191955,1.192405,active,2,2,2021-06-28T06:00:00Z,1.192585,1.192825,1.19231,1.19267,0.000906816258604337,2021-06-28T06:00:00Z,4.534081293021685e-05,0.21111111111108918,1.0,1.6896462509560954,1.192265,1.192585
2021-07-14T23:30:00Z,2021-07-14T23:30:00Z,short,1.18345,1.1839887861863476,1.1839887861863476,1170,supply,1.183505,1.18394,verified,4,4,2021-07-14T23:15:00Z,1.18348,1.183615,1.18342,1.18345,0.0009757237269546287,2021-07-14T23:00:00Z,4.878618634773144e-05,,1.0,1.2385889341328136,1.183675,1.183595
2021-07-22T08:00:00Z,2021-07-22T08:00:00Z,short,1.179385,1.1802992412292108,1.1802992412292108,1204,supply,1.179805,1.180255,rejected,3,3,2021-07-22T07:45:00Z,1.179585,1.179905,1.17933,1.179385,0.0008848245842131824,2021-07-22T08:00:00Z,4.424122921065912e-05,,1.0,2.031647176023968,1.179495,1.179385
2021-07-27T10:30:00Z,2021-07-27T10:30:00Z,long,1.178565,1.1777533762499353,1.1777533762499353,1215,demand,1.1778,1.178225,touched,3,3,2021-07-27T10:15:00Z,1.178305,1.178665,1.178175,1.178565,0.0009324750012937709,2021-07-27T10:00:00Z,4.6623750064688545e-05,0.11764705882374454,1.0,1.909702941328467,1.177765,1.178205
2021-08-06T08:00:00Z,2021-08-06T08:00:00Z,short,1.182425,1.18329977626435,1.18329977626435,1274,supply,1.18281,1.1832593754594294,verified,2,3,2021-08-06T07:45:00Z,1.182745,1.182975,1.18228,1.182425,0.0008080160984122602,2021-08-06T08:00:00Z,4.040080492061301e-05,,1.0,1.9466489457625853,1.182805,1.182425
2021-08-12T22:00:00Z,2021-08-12T22:00:00Z,short,1.173135,1.1736405343627017,1.1736405343627017,1290,supply,1.173275,1.1735970688997532,verified,3,3,2021-08-12T21:45:00Z,1.1732,1.173305,1.173025,1.173135,0.0008693092589697147,2021-08-12T21:00:00Z,4.346546294848574e-05,,1.0,1.5696466286842885,1.173535,1.173
2021-10-06T03:00:00Z,2021-10-06T03:00:00Z,long,1.159335,1.1587327170374524,1.1587327170374524,1470,demand,1.158775,1.159135,touched,3,3,2021-10-06T02:45:00Z,1.159265,1.159365,1.159125,1.159335,0.0008456592509561035,2021-10-06T03:00:00Z,4.228296254780517e-05,0.02777777777796624,1.0,1.6730082292992983,1.1591,1.159335
2021-10-12T01:00:00Z,2021-10-12T01:00:00Z,short,1.154925,1.1555888612462002,1.1555888612462002,1486,supply,1.155125,1.155545,verified,3,3,2021-10-12T00:45:00Z,1.154965,1.15533,1.154765,1.154925,0.0008772249240014534,2021-10-12T01:00:00Z,4.386124620007267e-05,,1.0,1.5806220147620886,1.155335,1.154925
2021-10-13T07:00:00Z,2021-10-13T07:00:00Z,long,1.15515,1.1546770807929045,1.1546770807929045,1488,demand,1.154715,1.1550076384073946,verified,3,3,2021-10-13T06:45:00Z,1.155035,1.15527,1.154955,1.15515,0.0007583841419064201,2021-10-13T07:00:00Z,3.791920709532101e-05,0.1798752524089334,1.0,1.6160531056250746,1.15507,1.15515
2021-10-27T04:15:00Z,2021-10-27T04:15:00Z,long,1.16033,1.159667000983719,1.159667000983719,1550,demand,1.159705,1.160095,verified,3,3,2021-10-27T04:00:00Z,1.16015,1.160335,1.160035,1.16033,0.0007599803256194,2021-10-27T04:00:00Z,3.799901628097e-05,0.153846153846548,1.0,1.6999974776430329,1.15989,1.16015
