decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2021-05-31T07:30:00Z,2021-05-31T07:30:00Z,short,1.41805,1.4185910475058943,1.4185910475058943,979,supply,1.418125,1.41852,verified,3,3,2021-05-31T07:15:00Z,1.41811,1.41858,1.417715,1.41805,0.001420950117884195,2021-05-31T07:00:00Z,7.104750589420976e-05,,1.0,1.3697405212514868,1.41885,1.41804
2021-05-31T10:45:00Z,2021-05-31T10:45:00Z,long,1.417425,1.4164979943985243,1.4164979943985243,977,demand,1.41657,1.417205,rejected,4,4,2021-05-31T10:30:00Z,1.417255,1.41744,1.41709,1.417425,0.0014401120295158734,2021-05-31T10:00:00Z,7.200560147579368e-05,0.1811023622048786,1.0,1.4598513409066358,1.41715,1.41746
2021-06-07T02:15:00Z,2021-06-07T02:15:00Z,short,1.414175,1.4150515150273213,1.4150515150273213,1025,supply,1.414345,1.41498,verified,3,3,2021-06-07T02:00:00Z,1.414265,1.41445,1.41389,1.414175,0.0014303005464291721,2021-06-07T02:00:00Z,7.151502732145861e-05,,1.0,1.3803386257030161,1.41614,1.414265
2021-06-09T02:00:00Z,2021-06-09T02:00:00Z,long,1.416185,1.4153689649885977,1.4153689649885977,1024,demand,1.41543,1.415945,verified,3,4,2021-06-09T01:45:00Z,1.41605,1.416215,1.415845,1.416185,0.0012207002280454759,2021-06-09T02:00:00Z,6.103501140227379e-05,0.19417475728151573,1.0,1.584534002722919,1.415985,1.416185
2021-06-14T01:15:00Z,2021-06-14T01:15:00Z,short,1.410625,1.4112982858376129,1.4112982858376129,1036,supply,1.41084,1.41123,verified,4,5,2021-06-14T01:00:00Z,1.410805,1.411025,1.41062,1.410625,0.001365716752255911,2021-06-14T01:00:00Z,6.828583761279556e-05,,1.0,1.7263739425975002,1.41176,1.410805
2021-06-16T16:15:00Z,2021-06-16T16:15:00Z,long,1.411295,1.410326508393561,1.410326508393561,1064,demand,1.410395,1.410805,verified,3,3,2021-06-16T16:00:00Z,1.410875,1.41138,1.410775,1.411295,0.0013698321287803727,2021-06-16T16:00:00Z,6.849160643901864e-05,0.0731707317077926,1.0,2.3621746498510237,1.410405,1.410875
2021-06-27T21:30:00Z,2021-06-27T21:30:00Z,short,1.388125,1.3896924487391322,1.3896924487391322,1111,supply,1.388945,1.38961,verified,2,3,2021-06-27T21:15:00Z,1.389245,1.38973,1.38795,1.388125,0.0016489747826423985,2021-06-25T21:00:00Z,8.244873913211992e-05,,1.0,2.3570657731313833,1.38892,1.388855
2021-07-09T01:15:00Z,2021-07-09T01:15:00Z,short,1.37856,1.3798201710491784,1.3798201710491784,1154,supply,1.3788,1.37974,touched,3,3,2021-07-09T01:00:00Z,1.378775,1.378885,1.37816,1.37856,0.0016034209835689341,2021-07-09T01:00:00Z,8.017104917844672e-05,,1.0,1.3406074991260584,1.37899,1.378775
2021-07-14T07:45:00Z,2021-07-14T07:45:00Z,long,1.384735,1.3835425743401495,1.3835425743401495,1141,demand,1.38361,1.38448,verified,3,3,2021-07-14T07:30:00Z,1.38453,1.385365,1.384305,1.384735,0.001348513197009357,2021-07-14T07:00:00Z,6.742565985046784e-05,0.201149425287415,1.0,1.3706042067248976,1.3825,1.38465
2021-07-28T11:45:00Z,2021-07-28T11:45:00Z,long,1.38734,1.385747875455705,1.385747875455705,1181,demand,1.3858296248171749,1.386675,verified,4,4,2021-07-28T11:30:00Z,1.386755,1.38757,1.38652,1.38734,0.001634987229394025,2021-07-28T11:00:00Z,8.174936146970125e-05,0.1833505444081273,1.0,1.8833348513662875,1.387495,1.38813
2021-08-03T15:30:00Z,2021-08-03T15:30:00Z,long,1.389445,1.3883373805175696,1.3883373805175696,1229,demand,1.38842,1.389125,rejected,3,3,2021-08-03T15:15:00Z,1.38926,1.38969,1.38905,1.389445,0.0016523896486092212,2021-08-03T15:00:00Z,8.261948243046106e-05,0.10638297872347798,1.0,1.5710914644404295,1.38866,1.389245
2021-08-06T06:30:00Z,2021-08-06T06:30:00Z,long,1.39204,1.3914741715613916,1.3914741715613916,1252,demand,1.39153,1.391905,active,3,3,2021-08-06T06:15:00Z,1.391955,1.39229,1.39183,1.39204,0.0011165687721650813,2021-08-06T06:00:00Z,5.582843860825407e-05,0.20000000000011842,1.0,1.5088758362887609,1.392105,1.392105
2021-09-08T10:45:00Z,2021-09-08T10:45:00Z,short,1.376325,1.3769620618600238,1.3769620618600238,1347,supply,1.3766262626017804,1.3769,verified,3,3,2021-09-08T10:30:00Z,1.37658,1.376835,1.37606,1.376325,0.001241237200476007,2021-09-08T10:00:00Z,6.206186002380035e-05,,1.0,2.3272737454484824,1.37633,1.375565
2021-09-13T12:30:00Z,2021-09-13T12:30:00Z,short,1.38351,1.3846816309419745,1.3846816309419745,1364,supply,1.384015,1.384615,active,3,4,2021-09-13T12:15:00Z,1.3838,1.38409,1.383025,1.38351,0.0013326188394922121,2021-09-13T12:00:00Z,6.663094197461061e-05,,1.0,1.9527182366243443,1.38275,1.38253
