decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-03-18T18:15:00Z,2021-03-18T18:15:00Z,2021-03-19T15:45:00Z,long,0,392,162.63626200000002,162.25450677035892,163.01801722964112,163.00171542791816,target,143.25774374391108,3.92,139.3377437439111,0.9311029694401635,100139.3377437439
2021-04-22T18:00:00Z,2021-04-22T18:00:00Z,2021-04-22T18:00:00Z,long,0,439,166.966695,166.62513156945752,167.30825843054245,166.60846905630058,stop,-157.26118928404068,4.39,-161.65118928404067,-1.0780602101185122,99977.68655445987
2021-07-19T17:30:00Z,2021-07-19T17:30:00Z,2021-07-20T13:30:00Z,long,0,365,169.31693,168.90622547932853,169.7276345206715,169.71066175721944,target,143.71209138509101,3.65,140.062091385091,0.9343256231804795,100117.74864584496
2021-08-05T18:15:00Z,2021-08-05T18:15:00Z,2021-08-06T13:30:00Z,short,0,426,168.80311799999998,169.1549418951838,168.45129410481616,168.46813923422664,target,142.7009542194441,4.26,138.4409542194441,0.9236972537170689,100256.1896000644
2021-08-24T14:30:00Z,2021-08-24T14:30:00Z,2021-08-25T13:30:00Z,short,0,418,168.943104,169.30233582018283,168.58387217981718,168.60073056703516,target,143.11209497930656,4.18,138.93209497930656,0.9252338303318727,100395.12169504371
2021-10-11T16:30:00Z,2021-10-11T16:30:00Z,2021-10-12T13:45:00Z,long,0,349,164.286427,163.85505717645842,164.7177968235416,164.70132504385924,target,144.79941730687437,3.49,141.30941730687437,0.9386332139206857,100536.43111235058
2022-06-21T17:15:00Z,2022-06-21T17:15:00Z,2022-06-21T18:45:00Z,long,0,360,171.257124,170.83840707356845,171.67584092643156,170.8213232328611,stop,-156.88827617000925,3.6,-160.48827617000924,-1.0646829373203868,100375.94283618056
2022-06-27T14:45:00Z,2022-06-27T14:45:00Z,2022-06-28T13:45:00Z,short,0,288,170.18298,170.70522752054654,169.66073247945343,169.67769855270137,target,145.5210568220009,2.88,142.6410568220009,0.9483653398301987,100518.58389300256
2022-09-29T17:45:00Z,2022-09-29T17:45:00Z,2022-09-30T13:30:00Z,short,0,300,154.48455,154.98667858487443,153.9824214151256,155.0021772527329,stop,-155.288175819868,3.0,-158.288175819868,-1.0507811517339887,100360.2957171827
2022-10-27T14:45:00Z,2022-10-27T14:45:00Z,2022-10-28T13:30:00Z,short,0,195,154.58454,155.35532994900277,153.81375005099724,153.82913142600233,target,147.30467192954563,1.95,145.35467192954565,0.9670709574794929,100505.65038911224
2023-03-23T15:00:00Z,2023-03-23T15:00:00Z,2023-03-23T16:00:00Z,short,0,164,183.941604,184.8601536207553,183.0230543792447,184.87863963611738,stop,-153.673844323249,1.6400000000000001,-155.313844323249,-1.0310119504906534,100350.336544789
2023-07-25T14:30:00Z,2023-07-25T14:30:00Z,2023-07-25T15:00:00Z,short,0,351,181.761822,182.19005055900342,181.33359344099657,182.20826956405932,stop,-156.70309498482357,3.5100000000000002,-160.21309498482356,-1.0658970646926686,100190.12344980417
2024-08-06T17:30:00Z,2024-08-06T17:30:00Z,2024-08-07T13:30:00Z,long,0,178,221.0221,220.17897477622998,221.86522522377,221.84303870124765,target,146.12708882208267,1.78,144.34708882208267,0.9618247424997681,100334.47053862625
2024-08-13T18:15:00Z,2024-08-13T18:15:00Z,2024-08-14T13:30:00Z,short,0,197,228.037194,228.79761263084671,227.27677536915328,227.2995030466902,target,145.3251178020295,1.97,143.3551178020295,0.9569609735883526,100477.82565642828
2024-10-10T15:30:00Z,2024-10-10T15:30:00Z,2024-10-10T15:30:00Z,short,0,388,242.325765,242.71369794417612,241.93783205582386,241.96202583902945,target,141.1307944565691,3.88,137.2507944565691,0.9118564594244282,100615.07645088485
2024-12-04T17:30:00Z,2024-12-04T17:30:00Z,2024-12-05T14:30:00Z,short,0,277,244.705527,245.24994075409577,244.1611132459042,244.1855293572288,target,144.03934704761892,2.77,141.2693470476189,0.9367831707673154,100756.34579793247
2025-01-28T18:15:00Z,2025-01-28T18:15:00Z,2025-01-29T15:15:00Z,long,0,335,254.82548,254.37469657505153,255.27626342494847,254.34925910539403,stop,-159.53399969300094,3.35,-162.88399969300093,-1.0786130715909867,100593.46179823947
2025-03-20T15:30:00Z,2025-03-20T15:30:00Z,2025-03-20T16:30:00Z,long,0,283,280.388036,279.85600575988906,280.92006624011094,279.8280201593131,stop,-158.48448291439308,2.83,-161.3144829143931,-1.0713974464459743,100432.14731532507
2025-11-03T16:15:00Z,2025-11-03T16:15:00Z,2025-11-04T14:30:00Z,short,0,79,368.293167,370.19263535726645,366.3936986427335,366.43033801259776,target,147.16349000477572,0.79,146.37349000477573,0.975446092752308,100578.52080532984
