decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2021-04-09T13:45:00Z,2021-04-09T13:45:00Z,long,23.31,23.194144640823936,23.194144640823936,211,demand,23.2,23.25,active,4,4,2021-04-09T13:30:00Z,23.29,23.32,23.25,23.31,0.11710718352126273,2021-04-08T20:00:00Z,0.005855359176063137,0.0,1.0,2.317107183521226,23.67,23.62
2021-05-24T16:45:00Z,2021-05-24T16:45:00Z,long,25.73,25.640347331322307,25.640347331322307,256,demand,25.64982659362309,25.69,verified,3,3,2021-05-24T16:30:00Z,25.7,25.73,25.69,25.73,0.18958524601568513,2021-05-24T16:00:00Z,0.009479262300784257,0.0,1.0,2.2316421922642355,25.84,25.76
2021-05-25T14:30:00Z,2021-05-25T14:30:00Z,short,25.92,26.058136183467912,26.058136183467912,261,supply,25.965995303606736,26.05,active,3,3,2021-05-25T14:15:00Z,25.94,26.01,25.89,25.92,0.162723669358195,2021-05-25T14:30:00Z,0.008136183467909749,,1.0,1.6443864378871247,25.53,25.63
2021-06-04T14:45:00Z,2021-06-04T14:45:00Z,short,25.74,25.87844800687151,25.87844800687151,254,supply,25.8,25.87,verified,4,4,2021-06-04T14:30:00Z,25.79,25.83,25.73,25.73,0.16896013743013044,2021-06-04T14:30:00Z,0.008448006871506522,,1.0,2.120685812450105,25.71,25.79
2021-07-08T19:30:00Z,2021-07-08T19:30:00Z,long,24.02,23.863801545531565,23.863801545531565,289,demand,23.87,23.95,verified,2,4,2021-07-08T19:15:00Z,24.0,24.02,23.93,24.02,0.12396908936869973,2021-07-08T19:00:00Z,0.006198454468434987,0.25,1.0,1.95248068085547,24.05,24.05
2021-07-12T18:45:00Z,2021-07-12T18:45:00Z,short,24.3,24.365863025934576,24.365863025934576,298,supply,24.313723249424644,24.36,rejected,2,3,2021-07-12T18:30:00Z,24.31,24.32,24.3,24.3,0.11726051869152218,2021-07-12T18:00:00Z,0.005863025934576109,,1.0,1.4232422353710121,24.25,24.29
2021-09-30T16:00:00Z,2021-09-30T16:00:00Z,short,20.43,20.55874732237401,20.55874732237401,384,supply,20.48,20.55,verified,2,3,2021-09-30T15:45:00Z,20.47,20.49,20.38,20.42,0.17494644748022808,2021-09-30T16:00:00Z,0.008747322374011405,,1.0,1.9821046053429745,20.41,20.42
2021-10-06T15:00:00Z,2021-10-06T15:00:00Z,long,20.81,20.69340932235613,20.69340932235613,393,demand,20.7,20.76,active,2,2,2021-10-06T14:45:00Z,20.77,20.85,20.76,20.8,0.13181355287738436,2021-10-06T15:00:00Z,0.006590677643869218,0.0,1.0,1.7765112940644712,20.74,20.8
2021-10-06T17:15:00Z,2021-10-06T17:15:00Z,short,20.86,20.946427676131705,20.946427676131705,387,supply,20.87,20.94,verified,3,4,2021-10-06T17:00:00Z,20.87,20.88,20.84,20.85,0.12855352263407138,2021-10-06T17:00:00Z,0.006427676131703569,,1.0,1.3775382304529056,20.86,20.86
2022-01-26T14:45:00Z,2022-01-26T14:45:00Z,long,21.91,21.792536808365224,21.792536808365224,485,demand,21.8,21.86,active,3,3,2022-01-26T14:30:00Z,21.88,21.94,21.86,21.91,0.14926383269554913,2022-01-25T21:00:00Z,0.007463191634777457,0.0,1.0,1.9577198605796478,22.14,22.03
2022-02-14T16:00:00Z,2022-02-14T16:00:00Z,short,22.05,22.17768392936712,22.17768392936712,489,supply,22.11,22.17,touched,2,2,2022-02-14T15:45:00Z,22.09,22.11,22.04,22.06,0.1536785873423955,2022-02-14T16:00:00Z,0.0076839293671197755,,1.0,1.9613988227852834,22.08,22.06
