decision_timestamp,entry_timestamp,side,entry_reference,jaw,stop_reference,zone_id,zone_side,zone_lower,zone_upper,zone_status,qualified_score,current_score,trigger_timestamp,trigger_open,trigger_high,trigger_low,trigger_close,one_hour_atr,one_hour_atr_timestamp,stop_buffer,long_zone_penetration_fraction,reward_to_risk,risk_zone_ratio,one_hour_reference_open,one_hour_reference_close
2021-04-12T13:45:00Z,2021-04-12T13:45:00Z,long,23.3,23.194390378453786,23.194390378453786,211,demand,23.2,23.25,rejected,4,4,2021-04-12T13:30:00Z,23.28,23.32,23.24,23.31,0.11219243092427764,2021-04-09T20:00:00Z,0.005609621546213882,0.20000000000002843,1.0,2.312192430924223,23.41,23.42
2021-06-04T15:45:00Z,2021-06-04T15:45:00Z,short,25.78,25.878273149237828,25.878273149237828,254,supply,25.8,25.87,verified,4,4,2021-06-04T15:30:00Z,25.79,25.8,25.76,25.78,0.1654629847565495,2021-06-04T15:00:00Z,0.008273149237827475,,1.0,1.4039021319689424,25.79,25.74
2021-07-08T19:30:00Z,2021-07-08T19:30:00Z,long,24.02,23.863801545531565,23.863801545531565,289,demand,23.87,23.95,verified,2,4,2021-07-08T19:15:00Z,24.0,24.02,23.93,24.02,0.12396908936869973,2021-07-08T19:00:00Z,0.006198454468434987,0.25,1.0,1.95248068085547,24.05,24.05
2021-10-06T15:00:00Z,2021-10-06T15:00:00Z,long,20.81,20.69340932235613,20.69340932235613,393,demand,20.7,20.76,active,2,2,2021-10-06T14:45:00Z,20.77,20.85,20.76,20.8,0.13181355287738436,2021-10-06T15:00:00Z,0.006590677643869218,0.0,1.0,1.7765112940644712,20.74,20.8
2021-10-06T17:15:00Z,2021-10-06T17:15:00Z,short,20.86,20.946427676131705,20.946427676131705,387,supply,20.87,20.94,verified,3,4,2021-10-06T17:00:00Z,20.87,20.88,20.84,20.85,0.12855352263407138,2021-10-06T17:00:00Z,0.006427676131703569,,1.0,1.3775382304529056,20.86,20.86
2022-02-14T16:00:00Z,2022-02-14T16:00:00Z,short,22.05,22.17768392936712,22.17768392936712,489,supply,22.11,22.17,touched,2,2,2022-02-14T15:45:00Z,22.09,22.11,22.04,22.06,0.1536785873423955,2022-02-14T16:00:00Z,0.0076839293671197755,,1.0,1.9613988227852834,22.08,22.06
2022-03-25T15:30:00Z,2022-03-25T15:30:00Z,long,23.52,23.372562299798048,23.372562299798048,514,demand,23.38097880488911,23.46,verified,3,3,2022-03-25T15:15:00Z,23.46,23.56,23.46,23.51,0.16833010182128388,2022-03-25T15:00:00Z,0.008416505091064194,0.0,1.0,1.739251095976058,23.42,23.51
2022-04-11T15:30:00Z,2022-04-11T15:30:00Z,long,23.07,22.98187035646521,22.98187035646521,542,demand,22.99,23.04,verified,4,4,2022-04-11T15:15:00Z,23.06,23.09,23.03,23.08,0.16259287069579687,2022-04-11T15:00:00Z,0.008129643534789843,0.19999999999995738,1.0,1.9625928706957727,23.08,23.08
2022-06-22T15:00:00Z,2022-06-22T15:00:00Z,short,19.84,19.95677925578324,19.95677925578324,606,supply,19.88,19.95,verified,3,3,2022-06-22T14:45:00Z,19.86,19.88,19.83,19.84,0.1355851156647847,2022-06-22T15:00:00Z,0.006779255783239235,,1.0,1.6682750826176964,19.86,19.84
2022-09-22T17:30:00Z,2022-09-22T17:30:00Z,long,18.06,17.971867708006496,17.971867708006496,696,demand,17.98,18.03,verified,2,3,2022-09-22T17:15:00Z,18.03,18.07,18.03,18.05,0.1626458398700839,2022-09-22T17:00:00Z,0.008132291993504195,0.0,1.0,1.5626458398700782,17.99,18.04
