decision_timestamp,entry_timestamp,exit_timestamp,side,rrms_tier,quantity,entry_price,stop_price,target_price,exit_price,exit_reason,gross_pnl,costs,net_pnl,result_r,equity_after
2021-05-24T16:45:00Z,2021-05-24T16:45:00Z,2021-05-25T13:30:00Z,long,0,1626,25.732573,25.640347331322307,25.82479866867769,25.637783296589173,stop,-154.1280577460017,16.26,-170.3880577460017,-1.1362314300701009,99829.61194225399
2021-05-25T14:30:00Z,2021-05-25T14:30:00Z,2021-05-26T13:45:00Z,short,0,1064,25.917408000000002,26.058136183467912,25.77667981653209,25.779257484513746,target,146.99214847737628,10.64,136.35214847737626,0.9106243847415075,99965.96409073137
2021-07-06T14:45:00Z,2021-07-06T14:45:00Z,2021-07-06T15:00:00Z,long,0,968,24.462446,24.30755055259136,24.61734144740864,24.3051197975361,stop,-152.2917639850545,9.68,-161.9717639850545,-1.0802525526942266,99803.99232674632
2021-09-30T16:00:00Z,2021-09-30T16:00:00Z,2021-09-30T17:45:00Z,short,0,1144,20.427957,20.55874732237401,20.297166677625988,20.560803197106246,stop,-151.9760494895462,11.44,-163.4160494895462,-1.0921771161153666,99640.57627725677
2021-10-06T15:00:00Z,2021-10-06T15:00:00Z,2021-10-06T18:00:00Z,long,0,1259,20.812081,20.69340932235613,20.93075267764387,20.928659602376104,target,146.7724603915163,12.59,134.1824603915163,0.8980963654693029,99774.75873764828
2022-03-07T17:15:00Z,2022-03-07T17:15:00Z,2022-03-07T19:15:00Z,long,0,936,23.532353,23.37248021983749,23.69222578016251,23.689856557584495,target,147.42332989908667,9.36,138.06332989908668,0.9226308408132933,99912.82206754737
2022-04-11T15:30:00Z,2022-04-11T15:30:00Z,2022-04-11T16:45:00Z,long,0,1657,23.072307,22.98187035646521,23.16274364353479,22.979572169429563,stop,-153.66161425521184,16.57,-170.23161425521184,-1.1359867699083095,99742.59045329216
2022-04-21T16:00:00Z,2022-04-21T16:00:00Z,2022-04-21T16:45:00Z,long,0,1646,22.642264,22.551401011967627,22.733126988032375,22.54914587186643,stop,-153.27243890785917,16.46,-169.73243890785918,-1.1348749404634557,99572.8580143843
2022-06-15T18:15:00Z,2022-06-15T18:15:00Z,2022-06-15T18:30:00Z,short,0,877,19.788021,19.95818015691613,19.617861843083872,19.96017597493182,stop,-150.97991301520426,8.77,-159.74991301520427,-1.0704976342918917,99413.1081013691
2022-09-22T17:30:00Z,2022-09-22T17:30:00Z,2022-09-23T13:30:00Z,long,0,1658,18.061805999999997,17.971867708006496,18.1517442919935,17.970070521235694,stop,-152.097423791214,16.580000000000002,-168.677423791214,-1.1311697888553824,99244.43067757788
2022-09-27T18:45:00Z,2022-09-27T18:45:00Z,2022-09-28T13:45:00Z,long,0,1239,17.0017,16.88156559423579,17.121834405764208,17.12012222232363,target,146.7251334589781,12.39,134.33513345897808,0.9025076674240544,99378.76581103686
2022-10-20T16:30:00Z,2022-10-20T16:30:00Z,2022-10-20T17:45:00Z,short,0,1251,17.328266999999997,17.44738909469264,17.209144905307355,17.210865819797885,target,146.8688764328421,12.51,134.3588764328421,0.9016058731944536,99513.12468746971
2022-11-28T17:45:00Z,2022-11-28T17:45:00Z,2022-11-28T18:00:00Z,long,0,1366,19.40194,19.29268628305317,19.51119371694683,19.290757014424862,stop,-151.87595829563767,13.66,-165.53595829563767,-1.1091886753300235,99347.58872917407
2022-12-15T18:15:00Z,2022-12-15T18:15:00Z,2022-12-16T14:30:00Z,short,0,1120,21.267873,21.400868582442012,21.13487741755799,21.136990905299747,target,146.587946064285,11.200000000000001,135.38794606428502,0.9089181195395141,99482.97667523834
2023-02-02T17:00:00Z,2023-02-02T17:00:00Z,2023-02-03T14:30:00Z,long,0,979,21.662166,21.50988416517613,21.81444783482387,21.50773317675961,stop,-151.18973395233962,9.790000000000001,-160.97973395233961,-1.0797927634019566,99321.99694128601
2023-03-21T16:15:00Z,2023-03-21T16:15:00Z,2023-03-21T16:30:00Z,long,0,1486,20.462046,20.361836845350496,20.562255154649506,20.35980066166596,stop,-151.93657276438316,14.86,-166.79657276438314,-1.1201106198992772,99155.20036852162
2023-05-04T15:30:00Z,2023-05-04T15:30:00Z,2023-05-04T17:00:00Z,short,0,1047,23.757624000000003,23.89961913203247,23.615628867967537,23.902009093945672,stop,-151.17119336111523,10.47,-161.64119336111523,-1.087256244181452,98993.55917516051
2023-05-15T17:15:00Z,2023-05-15T17:15:00Z,2023-05-16T13:30:00Z,short,0,1359,22.137786000000002,22.247001395451722,22.028570604548282,22.030773461608735,target,145.43003967373156,13.59,131.84003967373155,0.8882679771475283,99125.39921483424
2023-06-07T17:30:00Z,2023-06-07T17:30:00Z,2023-06-08T13:30:00Z,long,0,2146,21.522152,21.45288671282947,21.591417287170525,21.589258145441807,target,144.0097881181215,21.46,122.54978811812148,0.82445547798303,99247.94900295236
2023-08-15T16:30:00Z,2023-08-15T16:30:00Z,2023-08-16T13:30:00Z,short,0,1378,20.69793,20.80592624368392,20.58993375631608,20.808006836308287,stop,-151.68588043282057,13.780000000000001,-165.46588043282057,-1.111861229726876,99082.48312251954
2023-11-08T16:15:00Z,2023-11-08T16:15:00Z,2023-11-08T16:30:00Z,long,0,1158,20.782078000000002,20.653733301040404,20.9104226989596,20.908331656689704,target,146.2017344466748,11.58,134.6217344466748,0.9057924295439559,99217.10485696621
2024-02-12T15:45:00Z,2024-02-12T15:45:00Z,2024-02-13T14:30:00Z,short,0,1528,20.727927,20.82528859089403,20.630565409105973,20.632628465646885,target,145.61616049156137,15.280000000000001,130.33616049156137,0.8761004577868704,99347.44101745776
2024-05-08T16:30:00Z,2024-05-08T16:30:00Z,2024-05-08T18:15:00Z,long,0,1142,25.112510999999998,24.98202052381365,25.243001476186347,24.97952232176127,stop,-151.87307054862782,11.42,-163.2930705486278,-1.095778653106692,99184.14794690914
2024-07-22T15:15:00Z,2024-07-22T15:15:00Z,2024-07-22T17:15:00Z,long,0,1117,26.472647,26.3394943987612,26.605799601238797,26.603139021278672,target,145.7595877682781,11.17,134.5895877682781,0.9049167658586015,99318.73753467742
2024-10-15T15:00:00Z,2024-10-15T15:00:00Z,2024-10-16T13:30:00Z,short,0,1118,28.747125,28.880290873568704,28.613959126431297,28.88317890265606,stop,-152.1082631694737,11.18,-163.2882631694737,-1.0967817710496672,99155.44927150795
2024-11-21T15:45:00Z,2024-11-21T15:45:00Z,2024-11-21T16:45:00Z,long,0,985,28.142814,27.991834926645687,28.293793073354315,27.98903574315302,stop,-151.4715829942754,9.85,-161.3215829942754,-1.0847745532430784,98994.12768851368
2024-12-11T19:15:00Z,2024-12-11T19:15:00Z,2024-12-12T14:30:00Z,long,0,978,29.042904,28.89118201765195,29.19462598234805,28.888292899450185,stop,-151.20965633771883,9.78,-160.98965633771883,-1.08495221326727,98833.13803217595
2024-12-31T19:15:00Z,2024-12-31T19:15:00Z,2025-01-02T14:30:00Z,long,0,1149,26.312631,26.183659257665877,26.441602742334123,26.43895858205989,target,145.15039178681351,11.49,133.6603917868135,0.901961778251578,98966.79842396277
2025-04-01T17:30:00Z,2025-04-01T17:30:00Z,2025-04-02T13:30:00Z,long,0,1114,30.603060000000003,30.469855544213406,30.7362644557866,30.733190829341023,target,144.96574388589647,11.14,133.8257438858965,0.9018529345105264,99100.62416784867
2025-04-22T16:45:00Z,2025-04-22T16:45:00Z,2025-04-22T19:30:00Z,short,0,609,29.787021,30.03071713436636,29.54332486563364,29.546279198120203,target,146.6117573447959,6.09,140.5217573447959,0.9468422733899888,99241.14592519347
2025-07-10T14:30:00Z,2025-07-10T14:30:00Z,2025-07-10T15:15:00Z,short,0,717,33.19668,33.404086173639584,32.98927382636042,33.407426582256946,stop,-151.1052994782297,7.17,-158.2752994782297,-1.0643202098725562,99082.87062571524
2025-10-27T15:30:00Z,2025-10-27T15:30:00Z,2025-10-27T18:45:00Z,long,0,297,42.134213,41.63501042906903,42.63341557093098,42.62915222937389,target,146.9969511240435,2.97,144.0269511240435,0.9714277481975067,99226.89757683928
2026-02-05T16:30:00Z,2026-02-05T16:30:00Z,2026-02-05T20:45:00Z,long,0,69,68.846884,66.71979415706865,70.97397384293136,66.71312217765295,stop,-147.22956574194674,0.6900000000000001,-147.91956574194674,-1.0078379291176172,99078.97801109734
2026-05-05T16:15:00Z,2026-05-05T16:15:00Z,2026-05-05T16:30:00Z,short,0,409,66.373362,66.73599886957973,66.01072513042027,66.0173262029333,target,145.6186410002785,4.09,141.5286410002785,0.9542212226454667,99220.50665209761
